Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

01:39:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:43:03 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     3  component_conta
01:43:04 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:43:05 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:43:06 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     2  component_conta
01:43:07 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:43:08 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     3  component_conta
01:43:09 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:43:10 PM  1000    205890    0.00    2.00    0.00    1.00    2.00     3  component_conta
01:43:11 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:43:12 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:43:13 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:43:14 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:43:15 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:43:16 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:43:17 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:43:18 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     3  component_conta
01:43:19 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:43:20 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     7  component_conta
01:43:21 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     7  component_conta
01:43:22 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     7  component_conta
01:43:23 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     7  component_conta
01:43:24 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     7  component_conta
01:43:25 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     7  component_conta
01:43:26 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     3  component_conta
01:43:27 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:43:28 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:43:29 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:43:30 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     4  component_conta
01:43:31 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:43:32 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:43:33 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:43:34 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:43:35 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     2  component_conta
01:43:36 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     2  component_conta
01:43:37 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:43:38 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     0  component_conta
01:43:39 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     2  component_conta
01:43:40 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     2  component_conta
01:43:41 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     4  component_conta
01:43:42 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     2  component_conta
01:43:43 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:43:44 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     9  component_conta
01:43:45 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:43:46 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     4  component_conta
01:43:47 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:43:48 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:43:49 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:43:50 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:43:51 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:43:52 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     0  component_conta
01:43:53 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:43:54 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:43:55 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:43:56 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     0  component_conta
01:43:57 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:43:58 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:43:59 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     6  component_conta
01:44:00 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:44:01 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:44:02 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:44:03 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     4  component_conta
01:44:04 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:44:05 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:44:06 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:44:07 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:44:08 PM  1000    205890    1.00    2.00    0.00    0.00    3.00    10  component_conta
01:44:09 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:44:10 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:44:11 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:44:12 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:44:13 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:44:14 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:44:15 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     0  component_conta
01:44:16 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:44:17 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta

Average:     1000    205890    0.31    1.48    0.00    0.00    1.79     -  component_conta
